ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom,gas_sorption,gas_desorption,gas_desor_vstpv,gas_sor_vstpv
0 1 1 1 0,0.370078,113.1674,6195.19,1228.7,9.56046,12.73923,0.55586,24,36,12,0,0,0,0,13,0.54,0.17,0.5,16.0508124,2.384175941,19.74231138,132.9097114
0 1 1 1 1,0.532252,159.3439547,4521.23,1152.27,9.56201,12.73923,0.52128,24,24,12,0,12,0,0,13,0.54,0.33,1.17,16.05981244,2.679943435,31.91606622,191.2600208
0 1 1 1 2,0.680588,154.6093653,3699.54,1064.25,9.55791,12.40438,0.48146,24,24,12,0,0,12,0,13,0.54,0.33,1,12.81048613,2.657703634,40.47224221,195.0816076
0 1 1 1 3,1.0813,94.89572391,2359.69,1024.1,9.56161,12.20654,0.4633,24,24,12,0,0,0,12,13,0.54,0.33,0.97,5.083190404,1.160951778,28.08838775,122.9841117
0 1 1 1 4,0.505217,167.7704976,4808.8,1139.27,9.56062,12.73923,0.5154,24,24,12,12,0,0,0,19,0.79,0.33,1.08,18.37917788,3.53790299,39.99358206,207.7640797
0 1 1 1 5,0.514303,173.950803,4869.33,1107.7,9.55882,12.50204,0.50112,24,36,12,12,0,0,0,13,0.54,0.29,0.93,19.93371567,4.817574043,55.43880798,229.3896109
0 1 1 1 6,0.496346,175.5836261,5219.04,1100.59,9.55997,12.72623,0.4979,24,36,24,0,0,0,0,19,0.79,0.29,0.86,20.31944165,4.509398347,50.0806037,225.6642297
0 1 1 1 7,0.505433,165.3964451,4828.19,1087.41,9.55943,12.36245,0.49194,24,48,24,0,0,0,0,13,0.54,0.25,0.75,19.27601022,4.651000971,52.59887457,217.9953197
0 1 1 1 8,0.77571,154.6681361,3341.54,966.102,9.14784,11.85576,0.43706,24,24,24,24,0,0,0,25,1.04,0.5,1.62,13.06291789,4.15174163,72.06031177,226.7284479
0 1 1 1 9,0.478353,175.9358128,5470.09,1062.74,9.56065,12.51535,0.48078,36,36,12,0,0,0,0,25,0.69,0.14,0.43,21.37922138,4.941586783,52.89094865,228.8267615
0 1 1 2 0,0.436907,140.8424349,5369.02,1874.84,11.51001,14.32533,0.51968,60,60,12,0,0,0,0,37,0.62,0.09,0.27,19.55069897,5.143548433,50.28266233,191.1250973
0 1 1 2 1,0.536272,124.2654235,4481.53,1793.88,10.7788,13.64435,0.49724,60,48,12,0,12,0,0,37,0.62,0.18,0.64,14.34215409,3.98599402,47.8286577,172.0940812
0 1 1 2 2,0.627159,114.6128541,3882.1,1715.02,10.24206,13.09694,0.47538,60,48,12,0,0,12,0,37,0.62,0.18,0.55,12.09941828,3.931916448,55.17576553,169.7886196
