ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom
0 1 1 1 0,0.370078,113.1674,6195.19,1228.7,9.56046,12.73923,0.55586,24,36,12,0,0,0,0,13,0.54,0.17,0.5
0 1 1 1 1,0.532252,159.3439547,4521.23,1152.27,9.56201,12.73923,0.52128,24,24,12,0,12,0,0,13,0.54,0.33,1.17
0 1 1 1 2,0.680588,154.6093653,3699.54,1064.25,9.55791,12.40438,0.48146,24,24,12,0,0,12,0,13,0.54,0.33,1
0 1 1 1 3,1.0813,94.89572391,2359.69,1024.1,9.56161,12.20654,0.4633,24,24,12,0,0,0,12,13,0.54,0.33,0.97
0 1 1 1 4,0.505217,167.7704976,4808.8,1139.27,9.56062,12.73923,0.5154,24,24,12,12,0,0,0,19,0.79,0.33,1.08
0 1 1 1 5,0.514303,173.950803,4869.33,1107.7,9.55882,12.50204,0.50112,24,36,12,12,0,0,0,13,0.54,0.29,0.93
0 1 1 1 6,0.496346,175.5836261,5219.04,1100.59,9.55997,12.72623,0.4979,24,36,24,0,0,0,0,19,0.79,0.29,0.86
0 1 1 1 7,0.505433,165.3964451,4828.19,1087.41,9.55943,12.36245,0.49194,24,48,24,0,0,0,0,13,0.54,0.25,0.75
0 1 1 1 8,0.77571,154.6681361,3341.54,966.102,9.14784,11.85576,0.43706,24,24,24,24,0,0,0,25,1.04,0.5,1.62
0 1 1 1 9,0.478353,175.9358128,5470.09,1062.74,9.56065,12.51535,0.48078,36,36,12,0,0,0,0,25,0.69,0.14,0.43
0 1 1 2 0,0.436907,140.8424349,5369.02,1874.84,11.51001,14.32533,0.51968,60,60,12,0,0,0,0,37,0.62,0.09,0.27
0 1 1 2 1,0.536272,124.2654235,4481.53,1793.88,10.7788,13.64435,0.49724,60,48,12,0,12,0,0,37,0.62,0.18,0.64
0 1 1 2 2,0.627159,114.6128541,3882.1,1715.02,10.24206,13.09694,0.47538,60,48,12,0,0,12,0,37,0.62,0.18,0.55
0 1 1 2 3,0.872677,76.87716213,2804.04,1684.79,10.05088,12.91012,0.467,60,48,12,0,0,0,12,37,0.62,0.18,0.53
0 1 1 2 4,0.519708,128.5340296,4633.24,1781.18,10.6828,13.54471,0.49372,60,48,12,12,0,0,0,43,0.72,0.18,0.59
0 1 1 2 5,0.525275,137.3782139,4830.07,1701.31,11.34977,14.64423,0.47158,60,60,12,12,0,0,0,37,0.62,0.17,0.54
0 1 1 2 6,0.514273,132.376652,4969.82,1686.45,12.13603,14.22968,0.46746,60,60,24,0,0,0,0,43,0.72,0.17,0.5
0 1 1 2 7,0.51984,133.0691774,4795.1,1654.77,11.81017,14.1945,0.45868,60,72,24,0,0,0,0,37,0.62,0.15,0.46
0 1 1 2 8,0.685441,124.5450354,3493.67,1547.19,11.81052,14.15022,0.42886,60,48,24,24,0,0,0,49,0.82,0.31,1
0 1 1 2 9,0.503248,125.9422711,5178.14,1629.59,12.13591,14.08951,0.4517,72,60,12,0,0,0,0,49,0.68,0.08,0.25
0 1 1 5 0,0.438711,144.367349,5426.27,1742.54,13.55647,14.82071,0.4789,60,72,12,0,0,0,0,31,0.52,0.08,0.25
0 1 1 5 1,0.537231,134.7678915,4404.21,1682.58,13.55647,14.82071,0.46242,60,60,12,0,12,0,0,31,0.52,0.17,0.58
